Last Update,Country,Province/State,Confirmed
2016-06-18,Argentina,Buenos_Aires,23
2016-06-18,Argentina,CABA,9
2016-06-18,Argentina,CABA,125
2016-06-18,Argentina,CABA,2
2016-06-18,Argentina,Catamarca,15
2016-06-18,Argentina,Chaco,65
2016-06-18,Argentina,Chaco,4
2016-06-18,Argentina,Chubut,1
2016-06-18,Argentina,Chubut,5
2016-06-18,Argentina,Cordoba,1
2016-06-18,Argentina,Cordoba,2
2016-06-18,Argentina,Cordoba,41
2016-06-18,Argentina,Cordoba,1
2016-06-18,Argentina,Corrientes,2
2016-06-18,Argentina,Corrientes,19
2016-06-18,Argentina,Entre_Rios,40
2016-06-18,Argentina,Entre_Rios,4
2016-06-18,Argentina,Formosa,9
2016-06-18,Argentina,Jujuy,765
2016-06-18,Argentina,Jujuy,1
2016-06-18,Argentina,La_Pampa,2
2016-06-18,Argentina,La_Rioja,3
2016-06-18,Argentina,Mendoza,1
2016-06-18,Argentina,Mendoza,18
2016-06-18,Argentina,Misiones,6
2016-06-18,Argentina,Misiones,1
2016-06-18,Argentina,Neuquen,20
2016-06-18,Argentina,Rio_Negro,9
2016-06-18,Argentina,Salta,101
2016-06-18,Argentina,Salta,3
2016-06-18,Argentina,San_Juan,1
2016-06-18,Argentina,San_Luis,12
2016-06-18,Argentina,Santa_Cruz,9
2016-06-18,Argentina,Santa_Fe,36
2016-06-18,Argentina,Santa_Fe,2
2016-06-18,Argentina,Sgo_Del_Estero,6
2016-06-18,Argentina,Tucuman,20
2016-06-18,Argentina,Tucuman,6
2016-06-18,Argentina,Tucuman,66
2016-06-18,Argentina,Tucuman,2
2016-06-26,Argentina,Buenos_Aires,2
2016-06-26,Argentina,Buenos_Aires,2
2016-06-26,Argentina,Buenos_Aires,223
2016-06-26,Argentina,Buenos_Aires,25
2016-06-26,Argentina,CABA,9
2016-06-26,Argentina,CABA,149
2016-06-26,Argentina,CABA,2
2016-06-26,Argentina,Catamarca,16
2016-06-26,Argentina,Chaco,66
2016-06-26,Argentina,Chaco,4
2016-06-26,Argentina,Chubut,1
2016-06-26,Argentina,Chubut,5
2016-06-26,Argentina,Cordoba,1
2016-06-26,Argentina,Cordoba,2
2016-06-26,Argentina,Cordoba,41
2016-06-26,Argentina,Cordoba,1
2016-06-26,Argentina,Corrientes,2
2016-06-26,Argentina,Corrientes,19
2016-06-26,Argentina,Entre_Rios,40
2016-06-26,Argentina,Entre_Rios,4
2016-06-26,Argentina,Formosa,9
2016-06-26,Argentina,Jujuy,769
2016-06-26,Argentina,Jujuy,1
2016-06-26,Argentina,La_Pampa,2
2016-06-26,Argentina,La_Rioja,3
2016-06-26,Argentina,Mendoza,1
2016-06-26,Argentina,Mendoza,18
2016-06-26,Argentina,Misiones,6
2016-06-26,Argentina,Misiones,1
2016-06-26,Argentina,Neuquen,20
2016-06-26,Argentina,Rio_Negro,8
2016-06-26,Argentina,Rio_Negro,1
2016-06-26,Argentina,Salta,102
2016-06-26,Argentina,Salta,4
2016-06-26,Argentina,San_Juan,1
2016-06-26,Argentina,San_Luis,10
2016-06-26,Argentina,San_Luis,1
2016-06-26,Argentina,Santa_Cruz,9
2016-06-26,Argentina,Santa_Fe,36
2016-06-26,Argentina,Santa_Fe,2
2016-06-26,Argentina,Sgo_Del_Estero,6
2016-06-26,Argentina,Tucuman,22
2016-06-26,Argentina,Tucuman,9
2016-06-26,Argentina,Tucuman,65
2016-06-26,Argentina,Tucuman,3
2016-02-13,Brazil,Acre,22
2016-02-13,Brazil,Alagoas,90
2016-02-13,Brazil,Amapa,583
2016-02-13,Brazil,Amazonas,243
2016-02-13,Brazil,Bahia,6
2016-02-13,Brazil,Ceara,58
2016-02-13,Brazil,Distrito_Federal,72
2016-02-13,Brazil,Espirito_Santo,159
2016-02-13,Brazil,Goias,122
2016-02-13,Brazil,Maranhao,5
2016-02-13,Brazil,Mato_Grosso,24
2016-02-13,Brazil,Mato_Grosso_do_Sul,10
2016-02-13,Brazil,Minas_Gerais,423
2016-02-13,Brazil,Para,1
2016-02-13,Brazil,Paraiba,1203
2016-02-13,Brazil,Parana,74
2016-02-13,Brazil,Pernambuco,228
2016-02-13,Brazil,Piaui,227
2016-02-13,Brazil,Rio_Grande_do_Norte,1
2016-02-13,Brazil,Rio_de_Janeiro,8
2016-02-13,Brazil,Rondonia,177
2016-02-13,Brazil,Roraima,111
2016-02-13,Brazil,Sergipe,88
2016-02-13,Brazil,Sao_Paulo,25
2016-02-13,Brazil,Tocantins,107
2016-02-13,Brazil,Alagoas,24
2016-02-13,Brazil,Amapa,3
2016-02-13,Brazil,Amazonas,6
2016-02-13,Brazil,Bahia,1
2016-02-13,Brazil,Ceara,1
2016-02-13,Brazil,Espirito_Santo,56
2016-02-13,Brazil,Goias,182
2016-02-13,Brazil,Mato_Grosso_do_Sul,30
2016-02-13,Brazil,Para,70
2016-02-13,Brazil,Paraiba,1
2016-02-13,Brazil,Pernambuco,2
2016-02-13,Brazil,Piaui,89
2016-02-13,Brazil,Rio_Grande_do_Norte,54
2016-02-13,Brazil,Rio_Grande_do_Sul,20
2016-02-13,Brazil,Rio_de_Janeiro,17
2016-02-13,Brazil,Alagoas,3
2016-02-13,Brazil,Amapa,2
2016-02-13,Brazil,Amazonas,16
2016-02-13,Brazil,Bahia,46
2016-02-13,Brazil,Ceara,5
